Order,Family,Species,Intro,Est,Spread,NoLocs,BM,HM,CS,CY,SM,LG,RL,OV,PA,PG
Crocodilia,Alligatoridae,Alligator_mississippiensis,1,0,NA,9,47800,76.6,35.2,0.35,11.375,73.1,61.14184932,0.046729742,1,0
Crocodilia,Alligatoridae,Alligator_sinensis,0,NA,NA,NA,14600,48.2,25.7,0.75,5,60.7,55.7,0.023937762,1,0
Crocodilia,Alligatoridae,Caiman_crocodilus,1,1,0,19,10900,62.9,30.2,0.767,8,24.1,51.20171233,0.02546362,1,0
Crocodilia,Alligatoridae,Caiman_latirostris,0,NA,NA,NA,14600,76.2,31.4,1,4.83,22,17.17,0.058241118,1,0
Crocodilia,Alligatoridae,Melanosuchus_niger,0,NA,NA,NA,82000,143.6,39.3,1,6,15.3,9.3,0.107526882,1,0
Crocodilia,Alligatoridae,Paleosuchus_palpebrosus,1,NA,NA,1,5900,68.6,13.3,1,10,24.1,14.1,0.070921986,1,0
Crocodilia,Alligatoridae,Paleosuchus_trigonatus,1,NA,NA,1,7500,67.2,15.1,0.33,10,30.9,20.9,0.144990576,1,0
Crocodilia,Crocodylidae,Crocodylus_acutus,1,0,NA,1,78700,112.8,35.6,0.679,8,32.9,92.0630137,0.015997239,1,0
Crocodilia,Crocodylidae,Crocodylus_intermedius,0,NA,NA,NA,107900,110.4,39.8,0.8,12.5,21.8,9.3,0.134408602,1,0
Crocodilia,Crocodylidae,Crocodylus_johnstoni,0,NA,NA,NA,19500,69.7,12.4,0.9,12,50,38,0.029239766,1,0
Crocodilia,Crocodylidae,Crocodylus_mindorensis,0,NA,NA,NA,36900,73.6,18.3,NA,NA,NA,NA,NA,1,0
Crocodilia,Crocodylidae,Crocodylus_moreletii,0,NA,NA,NA,31700,79.5,30.2,1,7.5,25.4,17.9,0.055865922,1,0
Crocodilia,Crocodylidae,Crocodylus_niloticus,NA,NA,NA,2,94200,107.1,47.6,0.63,6,43.8,37.8,0.041992105,1,0
