class,order,family,genus,species,subspecies,common_name,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_per_y,adult_body_mass_g,maximum_longevity_y,gestation_d,weaning_d,birth_or_hatching_weight_g,weaning_weight_g,egg_mass_g,incubation_d,fledging_age_d,longevity_y,male_maturity_d,inter_litter_or_interbirth_interval_y,female_body_mass_g,male_body_mass_g,no_sex_body_mass_g,egg_width_mm,egg_length_mm,fledging_mass_g,adult_svl_cm,male_svl_cm,female_svl_cm,birth_or_hatching_svl_cm,female_svl_at_maturity_cm,female_body_mass_at_maturity_g,no_sex_svl_cm,no_sex_maturity_d
Aves,Accipitriformes,Accipitridae,Accipiter,albogularis,NA,Pied Goshawk,NA,NA,NA,251.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352.5,223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,badius,NA,Shikra,363.468,3.25,1,140,NA,NA,NA,NA,NA,21,30,32,NA,NA,NA,168.5,125,123,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,bicolor,NA,Bicolored Hawk,NA,2.7,NA,345,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,390,212,NA,NA,NA,NA,39.5,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,brachyurus,NA,New Britain Sparrowhawk,NA,NA,NA,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,brevipes,NA,Levant Sparrowhawk,363.468,4,1,203.5,NA,NA,NA,NA,NA,21.85,32.5,42.5,NA,NA,NA,230.5,170,NA,NA,NA,NA,33.5,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,castanilius,NA,Chestnut-flanked Sparrowhawk,NA,NA,NA,159.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176,142.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,chilensis,NA,Chilean Hawk,NA,2.7,NA,345,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,377,212,NA,NA,NA,NA,39.5,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,chionogaster,NA,White-breasted Hawk,547.875,4.25,1,138.5,19.9,NA,NA,NA,NA,19.3,33,24.25,12.58333333,365,NA,174,103,138.5,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,cirrocephalus,NA,Collared Sparrowhawk,NA,3.25,NA,180,NA,NA,NA,NA,NA,20.75,NA,NA,NA,NA,NA,231,127.25,NA,NA,NA,NA,32.5,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,cooperii,NA,Cooper's Hawk,730,4.35,1,452,20.33333333,NA,NA,28,NA,40,29.75,32,12,730,NA,529,338.5,452,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA
