"","class","genus","species","common_name","adult_body_mass_g","female_body_mass_g","male_body_mass_g","no_sex_body_mass_g","E_alpha","I"
"1","Aves","Aeronautes","saxatalis","White-throated Swift",31.95,31.2,31.2,32.05,NA,38.65
"2","Aves","Archilochus","colubris","Ruby-throated Hummingbird",3.1425,3.345,3.05,3.03925,9.01892739282988,4.85
"3","Aves","Aethia","cristatella","Crested Auklet",264,251.4,268,272,2.93333333333333,269
"4","Aves","Onychoprion","fuscatus","Sooty Tern",183,249,239,183.5,8.47612157668559,188.3
"5","Aves","Bombycilla","cedrorum","Cedar Waxwing",32.04816667,33,30.7,31.7945,7.6,33.2
"6","Aves","Acanthis","hornemanni","Arctic Redpoll",14.3,12.7,13.6,15.45,4.6,475
"7","Aves","Leucosticte","tephrocotis","Grey-crowned Rosy Finch",32.6,28.9,35.15,25.8,6.60552922971222,40.5
"8","Aves","Spinus","pinus","Pine Siskin",13.05,NA,NA,13.6,9.43962054431202,18.6
"9","Aves","Progne","subis","Purple Martin",51.45,50.55,51.75,50.5,13.8,52
"10","Aves","Riparia","diluta","Pale Martin",13.4,14.35,13.325,13.1,8,14.5
"11","Aves","Riparia","riparia","Sand Martin",13.4,14.35,13.325,13.1,8,14.5
"12","Aves","Tachycineta","thalassina","Violet-green Swallow",14.15,13.9,14.4,14,6.82866167035337,16.5
"13","Aves","Ficedula","albicollis","Collared Flycatcher",12.55,12.5,12.9,11.9,7.93331576254551,14.71
"14","Aves","Ficedula","hypoleuca","European Pied Flycatcher",12.775,13,12.1,12.25,10.91666667,13.6
"15","Aves","Ficedula","semitorquata","Semicollared Flycatcher",12.7,12.5,12.9,13.95,7.93331576254551,14.71
"16","Aves","Ficedula","speculigera","Atlas Pied Flycatcher",12.775,13,12.1,12.25,10.91666667,13.6
"17","Aves","Periparus","ater","Coal Tit",9.275,8.85,8.9,9.225,9.43647032801715,10.445
"18","Aves","Poecile","atricapillus","Black-capped Chickadee",10.8,12.4,11.65,10.8,16.6559944651755,11.3
"19","Aves","Geothlypis","trichas","Common Yellowthroat",9.666666667,9.775,10.04166667,10.49,9.916666667,10.3
"20","Aves","Cistothorus","palustris","Marsh Wren",11.25,10.3,11.65,11.9,NA,11.5
"21","Aves","Empidonax","minimus","Least Flycatcher",10.275,10.1,11.05,10.3,8,10.8
"22","Aves","Sayornis","nigricans","Black Phoebe",18.25,17.75,19.475,18,8.01407403138114,18.7
"23","Aves","Diomedea","amsterdamensis","Amsterdam Albatross",7046.7,6719,8559,7618.5,3.95768529625036,9992
"24","Aves","Diomedea","antipodensis","Antipodean Albatross",7790,6950,8600,8727,3.97737527284862,9992
"25","Aves","Diomedea","dabbenena","Tristan Albatross",7704.25,6950,8600,8727,3.97737527284862,9992
"26","Aves","Diomedea","exulans","Wandering Albatross",7990,6950,8600,8727,3.97737527284862,9992
"27","Aves","Thalassarche","chrysostoma","Grey-headed Albatross",3700,3870,3900,3700,2.49828884325804,3770
"28","Aves","Thalassarche","impavida","Campbell Albatross",3440,3170,3710,3595,3.20535172342541,3760
"29","Aves","Thalassarche","melanophris","Black-browed Albatross",3440,3170,3710,3595,3.20535172342541,3760
