Species,Notes,Action
Crocodylus_johnstoni,Should be Crocodylus_johnsoni,
Agama_lucyae,Legit,None
Calotes_bachae,Legit,None
Ctenophorus_nguyarna,Legit,None
Hypsilurus_capreolatus,Legit,None
Pseudocalotes_cybelidermus,Legit,None
Alsophis_rufiventris,Legit,None
Amphisbaena_cunhai,Legit,None
Amphisbaena_ibijara,Legit,None
Amphisbaena_occidentalis,Legit,None
Monopeltis_anchietae,Legit,None
Monopeltis_capensis,Legit,None
Zygaspis_nigra,Legit,None
Zygaspis_violacea,Legit,None
Liotyphlops_ternetzii,Legit,None
Blanus_mariae,Legit,None
Blanus_tingitanus,"Formerly subspecies of Blanus cinereus (in amniote, but not complete case)",None
Chilabothrus_fordii,Spelled wrong in amniote as Chilabothrus fordi,
Chilabothrus_monensis,Legit,None
Saltuarius_moritzi,Legit,None
Kinyongia_matschiei,Legit,None
Nadzikambia_baylissi,Legit,None
Rhampholeon_maspictus,Legit,None
Dipsadoboa_aulica,Legit,None
Dipsadoboa_flavida,Legit,None
Drymoluber_brazili,Legit,None
Eirenis_coronella,Legit,None
Eirenis_coronelloides,Legit,None
Leptophis_depressirostris,Legit,None
Platyceps_elegantissimus,Legit,None
Platyceps_rhodorachis,Legit,None
Platyceps_sinai,Legit,None
Rhinobothryum_lentiginosum,Legit,None
Rhynchocalamus_melanocephalus,Legit,None
Simophis_rhinostoma,Legit,None
Zamenis_lineatus,Legit,None
Anolis_otongae,Legit (but don't google it),None
Amalosia_jacovae,Legit,None
Woodworthia_brunneus,Legit,None
Ophiodes_fragilis,Legit,None
Apostolepis_albicollaris,Legit,None
Apostolepis_ammodites,Legit,None
Apostolepis_assimilis,Legit,None
Apostolepis_flavotorquata,Legit,None
Atractus_badius,Legit,None
Atractus_pantostictus,Legit,None
Clelia_plumbea,Legit,None
Dipsas_gaigeae,Legit,None
Dipsas_variegata,Legit,None
Erythrolamprus_bizonus,Should be Erythrolamprus_bizona (still not in amniote),
Erythrolampus_almadensis,Should be Erythrolamprus_ (in amniote),
Erythrolampus_maryellenae,Should be Erythrolamprus (not in amniote),
Erythrolampus_mossoroensis,Should be Erythrolamprus_ (in amniote),
Erythrolampus_poecilogyrus,Should be Erythrolamprus_ (in amniote),
Erythrolampus_reginae,Should be Erythrolamprus_ (in amniote),
Erythrolampus_typhlus,Should be Erythrolamprus_ (in amniote),
Erythrolampus_viridis,Should be Erythrolamprus_ (in amniote),
Gomesophis_brasiliensis,Legit,None
Helicops_modestus,Legit,None
Lygophis_paucidens,Legit,None
Mussurana_quimi,Legit,None
Ninia_hudsoni,Legit,None
Oxyrhopus_formosus,Legit,None
Oxyrhopus_guibei,Legit,None
Phalotris_lativittatus,Legit,None
Phalotris_nasutus,Legit,None
Philodryas_argentea,"Correct name, in amniote as Philodryas_argenteus",
Phimophis_guerini,Legit,None
Rhachidelus_brazili,Legit,None
Sibynomorphus_mikanii,Legit,None
Thamnodynastes_hypoconia,Legit,None
Thamnodynastes_pallidus,Legit,None
Thamnodynastes_rutilus,Legit,None
Tomodon_dorsatum,"Should be Tomodon_dorsatus, not in amniote",
Xenodon_nattereri,Legit,None
Xenopholis_undulatus,Legit,None
Bungarus_ceylonicus,Legit,None
Elapognathus_coronata,Legit,None
Hydrophis_curtus,Legit,None
Micrurus_nigrocinctus,Legit,None
Ogmodon_vitianus,Legit,None
Simoselaps_bimaculatus,In amniote as Neelaps_bimaculatus,
Vermicella_calonotus,In amniote as Neelaps_calonotus,
Ptychozoon_nicobarensis,Legit,None
Cnemaspis_alantika,Legit,None
Cnemaspis_kumarasinghei,Legit,None
Cnemaspis_upendrai,Legit,None
Cyrtodactylus_astrum,Legit,None
Cyrtodactylus_epiroticus,Legit,None
Cyrtodactylus_guakanthanensis,Legit,None
Cyrtodactylus_lekaguli,Legit,None
Cyrtodactylus_macrotuberculatus,Legit,None
Cyrtodactylus_mcdonaldi,Legit,None
Cyrtodactylus_nuaulu,Legit,None
Cyrtodactylus_tuberculatus,Legit,None
Cyrtopodion_golubevi,Legit,None
Gehyra_georgpotthasti,Legit,None
Gekko_ernstkelleri,Legit,None
Gekko_melli,Legit,None
