"","class","order","family","genus","species","subspecies","common_name","female_maturity_d","adult_body_mass_g","maximum_longevity_y","C","C_E","E_alpha","I","taxaname","I_m","log_bodymass","log_C_E","log_I_m","log_E_alpha","Species","Age_at_maturity_avg_y"
"1","Aves","Accipitriformes","Accipitridae","Aquila","chrysaetos",NA,"Golden Eagle",1460,4383,48,1.60529317818846,70.632899840292,11,3518,"Aquila_chrysaetos",0.802646589094228,8.38548870041881,4.2574960393569,-0.219840775121306,2.39789527279837,NA,NA
"2","Aves","Accipitriformes","Accipitridae","Buteo","solitarius",NA,"Hawaiian Hawk",1095.7275,505,17,0.494207920792079,6.91792586023328,4.66290432612123,499.15,"Buteo_solitarius",0.988415841584158,6.22455842927536,1.93411599352105,-0.0116517774929256,1.53963849994922,NA,NA
"3","Aves","Anseriformes","Anatidae","Anas","discors",NA,"Blue-winged Teal",301.734,398.5,23.25,7.69134253450439,172.465523383923,27.124937859174,306.5,"Anas_discors",0.769134253450439,5.98770749823027,5.15019735205483,-0.262489742854004,3.30045352095197,NA,NA
"4","Aves","Anseriformes","Anatidae","Anas","strepera",NA,"Gadwall",240,850,28,6.81941176470588,186.459532634972,41.5833333333333,579.65,"Anas_strepera",0.681941176470588,6.74523634948436,5.22821423234911,-0.382811876367952,3.72769944596352,NA,NA
"5","Aves","Anseriformes","Anatidae","Aythya","affinis",NA,"Lesser Scaup",455.101,788.5,18.8,5.9495170577045,104.432753116411,14.0779717029846,471.24,"Aythya_affinis",0.597641090678503,6.67013240640309,4.64854335341515,-0.514764888025175,2.6446112851672,NA,NA
"6","Aves","Anseriformes","Anatidae","Aythya","valisineria",NA,"Canvasback",301.734,1218.666667,29.5,7.33194748158316,210.231360730243,34.6854050256186,992.8,"Aythya_valisineria",0.814660831287018,7.10551264417945,5.3482086420349,-0.204983410289056,3.54631899402492,NA,NA
"7","Aves","Apodiformes","Trochilidae","Archilochus","colubris",NA,"Ruby-throated Hummingbird",364.234,3.1425,9.1,6.94510739856802,56.2699451400922,8.11913769719466,4.85,"Archilochus_colubris",1.54335719968178,1.14501866148227,4.03016055850411,0.433960043467126,2.09422395360774,NA,NA
"8","Aves","Caprimulgiformes","Caprimulgidae","Antrostomus","vociferus",NA,"Eastern Whip-poor-will",365.25,53.7,15,3.93296089385475,55.0587587051351,13.9897330595483,52.8,"Antrostomus_vociferus",0.983240223463687,3.98341300151482,4.00840095505668,-0.0169018108026034,2.63832370769108,NA,NA
"9","Aves","Charadriiformes","Alcidae","Aethia","cristatella",NA,"Crested Auklet",1095,264,10.8,1.01893939393939,7.94772727272727,2.6,269,"Aethia_cristatella",1.01893939393939,5.57594910314632,2.07288601015107,0.018762276455523,0.955511445027437,NA,NA
"10","Aves","Charadriiformes","Alcidae","Aethia","pusilla",NA,"Least Auklet",1095,85,8.1,0.967058823529412,4.932,1.7,82.2,"Aethia_pusilla",0.967058823529412,4.44265125649032,1.5957445853021,-0.0334959544281822,0.53062825106217,NA,NA
