"","class","order","family","genus","species","subspecies","common_name","adult_body_mass_g","C_E","I_m","E_alpha","log_bodymass","log_C_E","log_I_m","log_E_alpha","scale_log_bodymass","scale_log_C_E","scale_log_I_m","scale_log_E_alpha"
"52","Aves","Accipitriformes","Accipitridae","Aquila","chrysaetos",NA,"Golden Eagle",4383,51.3693817020306,0.802646589094228,8,8.38548870041881,3.93904230823837,-0.219840775121306,2.07944154167984,0.775884757551697,1.26636798365121,0.822468612311816,-0.194175865358017
"94","Aves","Accipitriformes","Accipitridae","Buteo","solitarius",NA,"Hawaiian Hawk",505,8.40153465346535,0.988415841584158,5.66290432612123,6.22455842927536,2.12841438600335,-0.0116517774929256,1.73393689243152,0.0930394660862479,-0.184068017517438,0.969288453734736,-0.594346051903777
"276","Aves","Anseriformes","Anatidae","Anas","discors",NA,"Blue-winged Teal",398.5,171.516938519448,0.769134253450439,26.9757468498744,5.98770749823027,5.14468202860612,-0.262489742854004,3.29493819750326,0.0181955226221362,2.2321673250762,0.792391544115623,1.21363593852025
"303","Aves","Anseriformes","Anatidae","Anas","strepera",NA,"Gadwall",850,142.525705882353,0.681941176470588,31.7854166666667,6.74523634948436,4.95952237559686,-0.382811876367952,3.45900758921127,0.257571598812866,2.08384186108081,0.70753750877549,1.40366429046597
"318","Aves","Anseriformes","Anatidae","Aythya","affinis",NA,"Lesser Scaup",788.5,108.975320793453,0.597641090678503,14.6903288161309,6.67013240640309,4.69112144185449,-0.514764888025175,2.68718937360654,0.233839054274815,1.86883447482186,0.614481101052293,0.509729462121666
"329","Aves","Anseriformes","Anatidae","Aythya","valisineria",NA,"Canvasback",1218.666667,164.235623587463,0.814660831287018,27.0967143245375,7.10551264417945,5.10130212590816,-0.204983410289056,3.29941247789818,0.371417461747159,2.1974170752719,0.832946379981974,1.21881813686169
"589","Aves","Apodiformes","Trochilidae","Archilochus","colubris",NA,"Ruby-throated Hummingbird",3.1425,62.5059665871122,1.54335719968178,9.01892739282988,1.14501866148227,4.13526201757962,0.433960043467126,2.19932541268325,-1.51207471069543,1.42355330431946,1.28354452698947,-0.0553240405630766
"940","Aves","Caprimulgiformes","Caprimulgidae","Antrostomus","vociferus",NA,"Eastern Whip-poor-will",53.7,15.731843575419,0.983240223463687,3.99726214921287,3.98341300151482,2.75568691143718,-0.0169018108026034,1.38560966407157,-0.615153492877589,0.318419899663324,0.965586005157853,-0.997785404326452
"1042","Aves","Charadriiformes","Alcidae","Aethia","cristatella",NA,"Crested Auklet",264,8.96666666666667,1.01893939393939,2.93333333333333,5.57594910314632,2.19351399793968,0.018762276455523,1.07613943281605,-0.111918477380126,-0.131918804719471,0.990737169222142,-1.35621982898994
"1044","Aves","Charadriiformes","Alcidae","Aethia","pusilla",NA,"Least Auklet",85,6.03605882385176,0.967058823529412,2.08055555566667,4.44265125649032,1.7977512863604,-0.0334959544281822,0.732634952120468,-0.470036047739068,-0.448951629490089,0.953883419702278,-1.75407338152046
